序号,书名,评分,评价人数,作者,出版社,出版日期,价格
1,深入理解计算机系统,9.5,2523,Randal E.Bryant、David O'Hallaron , 中国电力出版社 , 2004-5-1 , 85.00元
2,计算机程序的构造和解释 : 原书第2版,9.5,1829,Harold Abelson、Gerald Jay Sussman、Julie Sussman , 机械工业出版社 , 2004-2 , 45.00元
3,C程序设计语言 : 第 2 版・新版,9.4,3860,（美）Brian W. Kernighan、（美）Dennis M. Ritchie , 机械工业出版社 , 2004-1 , 30.00元
4,UNIX环境高级编程 : 第2版,9.4,2110,W.Richard Stevens、Stephen A.Rago , 人民邮电出版社 , 2006年 , 99.00元
5,汇编语言（第2版）,9.4,1054,王爽 , 清华大学出版社 , 2008-4 , 33.00元
6,JavaScript高级程序设计（第3版）,9.3,1553,[美] Nicholas C. Zakas , 人民邮电出版社 , 2012-3-29 , 99.00元
7,编码的奥秘,9.3,1241,Charles Petzold , 机械工业出版社 , 2000-9-1 , 24.00
8,代码大全（第2版）,9.3,3364,[美] 史蒂夫・迈克康奈尔 , 电子工业出版社 , 2006-3 , 128.00元
9,算法导论（原书第2版）,9.3,4673,[美] Thomas H.Cormen、Charles E.Leiserson、Ronald L.Rivest、Clifford Stein , 机械工业出版社 , 2006-9 , 85.00元
10,C++ Primer 中文版（第 4 版）,9.2,4135,Stanley B.Lippman、Josée LaJoie、Barbara E.Moo , 人民邮电出版社 , 2006 , 99.00元
11,编码 : 隐匿在计算机软硬件背后的语言,9.2,1865,[美] Charles Petzold , 电子工业出版社 , 2010 , 55.00元
12,TCP/IP详解 卷1：协议,9.2,1868,W.Richard Stevens , 机械工业出版社 , 2000-4-1 , 45.00元
13,C专家编程,9.2,1775,Peter Van Der Linden , 人民邮电出版社 , 2008-2 , 45.00元
14,Head First 设计模式（中文版）,9.2,2444,弗里曼 , 中国电力出版社 , 2007-9 , 98.00元
15,鸟哥的Linux私房菜 : 基础学习篇,9.1,2329,鸟哥 , 人民邮电出版社 , 2010-6-28 , 88.00元
16,深度探索C++对象模型,9.1,1361,[美] Stanley B. Lippman , 华中科技大学出版社 , 2001-5 , 54.00元
17,浪潮之巅,9.1,18110,吴军 , 电子工业出版社 , 2011-8 , 55.00元
18,编程珠玑 : 第2版,9.1,1823,Jon Bentley , 人民邮电出版社 , 2008-10 , 39.00元
19,JavaScript语言精粹,9.1,1564,Douglas Crockford , 电子工业出版社 , 2009-4 , 35.00元
20,C Primer Plus : （第五版）,9.1,1578,Stephen Prata、云巅工作室 , 人民邮电出版社 , 2005-2-1 , 60.00元
21,Java编程思想 （第4版）,9.1,2877,[美] Bruce Eckel , 机械工业出版社 , 2007-6 , 108.00元
22,Effective C++中文版,9.1,1300,[美] Scott Meyers , 华中科技大学出版社 , 2001-9 , 49.80元
23,设计模式 : 可复用面向对象软件的基础,9.1,2559,[美] Erich Gamma、Richard Helm、Ralph Johnson、John Vlissides , 机械工业出版社 , 2000-9 , 35.00元
24,UNIX编程艺术,9.1,2005,Eric S. Raymond , 电子工业出版社 , 2006-2 , 59.00元
25,DOOM启世录,9.1,1300,[美] 大卫・卡什诺 , 电子工业出版社 , 2004-4 , 29.00元
26,集体智慧编程,9.0,1284,TOBY SEGARAN , 电子工业出版社 , 2009-1 , 59.80元
27,C和指针,9.0,1154,Kenneth A.Reek , 人民邮电出版社 , 2008 年4月 , 65.00元
28,Effective java 中文版（第2版）,9.0,1268,Joshua Bloch , 机械工业出版社 , 2009-1-1 , 52.00元
29,重构 : 改善既有代码的设计,9.0,1965,Martin Fowler , 中国电力出版社 , 2003-8-1 , 68.00元
30,数据结构与算法分析 : C语言描述,8.9,1493,维斯 , 机械工业出版社 , 2004-1-1 , 35.00元
31,C陷阱与缺陷 : C语言调试指南,8.9,1180,凯尼格 , 人民邮电出版社 , 2008-2-1 , 30.00元
32,精通正则表达式 : 第3版,8.9,1002,Jeffrey E. F. Friedl , 电子工业出版社 , 2007 , 75
33,程序员的自我修养 : 链接、装载与库,8.8,1876,俞甲子、石凡、潘爱民 , 电子工业出版社 , 2009-4 , 65.00
34,黑客与画家 : 硅谷创业之父Paul Graham文集,8.8,14165,[美] Paul Graham , 人民邮电出版社 , 2011-4 , 49.00元
35,信息简史 : 一部历史 一个理论 一股洪流,8.8,1718,[美] 詹姆斯・格雷克 , 人民邮电出版社 , 2013-10 , 69.00元
36,A Byte of Python : 简明 Python 教程,8.7,1016,Swaroop C H , Lulu Marketplace , 2008-10-1 , USD 27.98
37,JavaScript DOM编程艺术 （第2版）,8.7,1164,[英] Jeremy Keith、[加] Jeffrey Sambells , 人民邮电出版社 , 2011-4 , 49.00元
38,数学之美,8.7,8263,吴军 , 人民邮电出版社 , 2012-5-1 , 45.00元
39,软件随想录 : 程序员部落酋长Joel谈软件,8.7,2167,Joel Spolsky , 人民邮电出版社 , 2009 , 49.00元
40,失控 : 全人类的最终命运和结局,8.7,12326,[美] 凯文・凯利 , 新星出版社 , 2010-12 , 88.00元
41,HTTP权威指南 : 权威指南,8.6,1164,David Gourley、Brian Totty , 人民邮电出版社 , 2012-9 , 109.00元
42,代码整洁之道,8.6,1076,[美]Robert C. Martin , 人民邮电出版社 , 2010-1-1 , 59.00元
43,STL源码剖析,8.6,1151,侯捷 , 华中科技大学出版社 , 2002-6 , 68.00元
44,程序员修炼之道 : 从小工到专家,8.6,2092,Andrew Hunt、David Thomas , 电子工业出版社 , 2005-1 , 48.00元
45,硅谷之谜 : 《浪潮之巅》续集,8.5,1079,吴军 , 人民邮电出版社 , 2015-12-1 , 59.00
46,智能时代 : 大数据与智能革命重新定义未来,8.5,2886,吴军 , 中信出版集团 , 2016-8 , 68.00
47,启示录 : 打造用户喜爱的产品,8.5,4614,[美] Marty Cagan , 华中科技大学出版社 , 2011-5 , 36.00元
48,逻辑的引擎,8.4,1100,[美] 马丁・戴维斯 , 湖南科学技术出版社 , 2005-5 , 20.00元
49,"数据之巅 : 大数据革命,历史、现实与未来",8.4,1152,涂子沛 , 中信出版社 , 2014-5-1 , 65.00元
50,创业维艰 : 如何完成比难更难的事,8.4,5445,本・霍洛维茨 Ben Horowitz , 中信出版社 , 2015-2 , 49
51,精益创业 : 新创企业的成长思维,8.4,3339,[美] 埃里克・莱斯 , 中信出版社 , 2012-8 , 49.00元
52,必然,8.4,3594,[美] 凯文・凯利 , 译言・东西文库／电子工业出版社 , 2016-1 , 58.00元
53,程序员的思维修炼 : 开发认知潜能的九堂课,8.4,1632,Andy Hunt , 人民邮电出版社 , 2010-12-10 , 39.00元
54,艾伦・图灵传 : 如谜的解谜者,8.4,1023,[英] 安德鲁・霍奇斯 , 湖南科学技术出版社 , 2012-3-31 , 59.00元
55,三双鞋 : 美捷步总裁谢家华自述,8.3,2387,[美] 谢家华 , 中华工商联合出版社 , 2011-1 , 32.90元
56,重来 : 更为简单有效的商业思维,8.3,6225,[美] 贾森・弗里德、[丹] 戴维・海涅迈尔・汉森 , 中信出版社 , 2010-10 , 36.00元
57,编程之美 : 微软技术面试心得,8.3,2919,《编程之美》小组 编 , 电子工业出版社 , 2008-3 , 40.00元
58,大话设计模式,8.3,1664,程杰 , 清华大学出版社 , 2007-12-1 , 45.00元
59,高效程序员的45个习惯 : 敏捷开发修炼之道,8.2,1009,Venkat Subramaniam、Andy Hunt , 人民邮电出版社 , 2010-01 , 35.00元
60,用户体验的要素 : 以用户为中心的Web设计,8.2,3665,Jesse James Garrett , 机械工业出版社 , 2007年10月 , 25.00
61,科技想要什么,8.2,1826,[美] 凯文・凯利 , 中信出版社 , 2011-11 , 58.00元
62,重新定义公司 : 谷歌是如何运营的,8.2,4035,[美]埃里克・施密特 , 中信出版社 , 2015-8 , 49.00
63,沸腾十五年 : 中国互联网1995-2009,8.2,2015,林军 , 中信出版社 , 2009-7 , 59.00
64,运营之光 : 我的互联网运营方法论与自白,8.2,1154,黄有璨 , 电子工业出版社 , 2016-9-1 , 59.00元
65,Dive Into Python,8.2,1099,Mark Pilgrim , Apress , 19 July, 2004 , USD 39.99
66,游戏改变世界 : 游戏化如何让现实变得更美好,8.1,2751,[美] 简?麦戈尼格尔（Jane McGonigal） , 浙江人民出版社 , 2012-9 , 59.90元
67,图解HTTP,8.1,1176,【日】上野宣 , 人民邮电出版社 , 2014-4-15 , 49.00元
68,推荐系统实践,8.1,1247,项亮 , 人民邮电出版社 , 2012-6-1 , 49.00元
69,支付战争 : 互联网金融创世纪,8.1,1346,埃里克?杰克逊 , 中信出版社 , 2015-5-19 , 49.00
70,技术元素,8.0,1161,[美] 凯文・凯利 , 译言・东西文库／电子工业出版社 , 2012-5 , 55.00元
71,Python基础教程,8.0,1585,Magnus Lie Hetland , 人民邮电出版社 , 2010-7 , 69.00元
72,增长黑客 : 创业公司的用户与收入增长秘籍,7.9,1998,范冰 , 电子工业出版社 , 2015-7-1 , CNY 59.00
73,结网 : 互联网产品经理改变世界,7.9,3138,王坚 , 人民邮电出版社 , 2010-4 , 55.00元
74,Facebook效应 : 看Facebook如何打造无与伦比的社交帝国,7.9,4583,[美] 大卫・柯克帕特里克 , 华文出版社 , 2010-10 , 49.80
75,长尾理论2.0,7.9,1502,安德森 , 中信出版社 , 2009-5 , 42.00元
76,九败一胜 : 美团创始人王兴创业十年,7.9,1103,李志刚 , 北京联合出版公司 , 2014-9-1 , 42.00元
77,大型网站技术架构 : 核心原理与案例分析,7.9,1052,李智慧 , 电子工业出版社 , 2013-9-1 , 59.00元
78,腾讯传 : 中国互联网公司进化论,7.8,5335,吴晓波 , 浙江大学出版社 , 2017-1-1 , 58.00元
79,20个月赚130亿 : YouTube创始人陈士骏自传,7.7,1069,陈士骏、张黎明 , 中国华侨出版社 , 2011-11-17 , 35.00元
80,长尾理论,7.7,10957,[美] 克里斯・安德森 , 中信出版社 , 2006-12 , 35.00元
81,Python核心编程（第二版）,7.7,1421,[美]Wesley J. Chun（仲才） , 人民邮电出版社 , 2008-06 , 89.00元
82,从0到1 : 开启商业与未来的秘密,7.6,16253,彼得・蒂尔、布莱克・马斯特斯 , 中信出版股份有限公司 , 2015-1-1 , CNY 45.00
83,周鸿t自述 : 我的互联网方法论,7.6,4044,周鸿t , 中信出版社 , 2014-8 , 45.00元
84,浅薄 : 互联网如何毒化了我们的大脑,7.6,2084,[美] 尼古拉斯・卡尔 , 中信出版社 , 2010-12 , 42.00元
85,未来是湿的 : 无组织的组织力量,7.6,2381,[美] 克莱・舍基 , 中国人民大学出版社 , 2009-5 , 39.80
86,人人都是产品经理,7.6,6357,苏杰 , 电子工业出版社 , 2010年4月 , 45.00元
87,免费 : 商业的未来,7.5,3369,[美] 克里斯・安德森 , 中信出版社 , 2009-9 , 39.00
88,打造Facebook : 亲历Facebook爆发的5年,7.5,2146,王淮、祝文让 , 印刷工业出版社 , 2013-2-1 , 39.80元
89,从零开始做运营,7.5,1411,张亮 , 中信出版社 , 2015-11-1 , 49.00元
90,大数据时代 : 生活、工作与思维的大变革,7.5,13281,[英] 维克托?迈尔?舍恩伯格（Viktor Mayer-Sch?nberger） , 浙江人民出版社 , 2012-12 , 49.90元
91,参与感 : 小米口碑营销内部手册,7.5,7029,黎万强 , 中信出版社 , 2014-8 , 56.00元
92,平台战略 : 正在席卷全球的商业模式革命,7.5,1125,陈威如、余卓轩 , 中信出版社 , 2013-1 , 58.00元
93,一网打尽 : 贝佐斯与亚马逊时代,7.4,1296,[美]布拉德・斯通 , 中信出版社 , 2014-1-15 , 49.00元
94,联盟 : 互联网时代的人才变革,7.4,1233,里德?霍夫曼、本?卡斯诺查、克里斯?叶 , 中信出版社 , 2015-2-5 , 39.00元
95,"创业时, 我们在知乎聊什么?",7.4,2041,知乎 , 中信出版社 , 2014-1 , 42.00元
96,UCD火花集 : 有效的互联网产品设计、交互/信息设计、用户研究讨论,7.4,1315,UCDChina , 人民邮电出版社 , 2009 , 25.00元
97,撬动地球的Google,7.3,1074,[美] 戴维・怀斯、马克・马西德 , 中信出版社 , 2006-9 , 35.00元
98,淘宝技术这十年 : 淘宝技术大学校长解密淘宝十年,7.3,1926,子柳 , 电子工业出版社 , 2013-5 , 45.00元
99,数据结构,7.1,1192,严蔚敏、吴伟民 , 清华大学出版社 , 2007-3-1 , 30.0
100,维基经济学 : 大规模协作如何改变一切,7.1,1093,[加] 唐・泰普斯科特、[英] 安东尼・D・威廉姆斯 , 中国青年出版社 , 2007-10 , 43.80元
